order,cluster,parent_genre,child_genre,parent_colour,child_colour,normalised_child
1,electronic music,21st century classical,american 21st century classical,#FF227A,#FC528E,american21stcenturyclassical
2,rhythm music,abstract hip hop,chill abstract hip hop,#66CC99,#54C78C,chillabstracthiphop
3,rhythm music,adult standards,deep adult standards,#4364B3,#4762A7,deepadultstandards
4,heavy / experimental,african metal,south african metal,#D0802F,#CB8844,southafricanmetal
5,electronic music,afro house,afro house angolano,#D52633,#DE2738,afrohouseangolano
6,rock,alternative rock,aberdeen indie,#DCB250,#DEC75A,aberdeenindie
7,rock,alternative rock,album rock,#DCB250,#D4B245,albumrock
8,rock,alternative rock,alternative rock / indie ii,#DCB250,#DCA248,alternativerockindieii
9,rock,alternative rock,american post-rock,#DCB250,#D39D3D,americanpostrock
10,rock,alternative rock,anarcho-punk,#DCB250,#DEC45A,anarchopunk
11,rock,alternative rock,apostolic worship,#DCB250,#DEBF5B,apostolicworship
12,rock,alternative rock,athens indie,#DCB250,#DEB844,athensindie
13,rock,alternative rock,atlanta indie,#DCB250,#E0B153,atlantaindie
14,rock,alternative rock,australian alternative rock,#DCB250,#DAC048,australianalternativerock
15,rock,alternative rock,australian post-rock,#DCB250,#D5AA3D,australianpostrock
16,rock,alternative rock,austrian stoner rock,#DCB250,#E0C261,austrianstonerrock
17,rock,alternative rock,bagpipe,#DCB250,#DBB557,bagpipe
18,rock,alternative rock,bagpipe marching band,#DCB250,#E0B15E,bagpipemarchingband
19,rock,alternative rock,baltimore indie,#DCB250,#DAC04C,baltimoreindie
20,rock,alternative rock,baton rouge indie,#DCB250,#D7993B,batonrougeindie
21,rock,alternative rock,beatlesque,#DCB250,#DEAA5D,beatlesque
22,rock,alternative rock,belgian post-rock,#DCB250,#D9A43B,belgianpostrock
23,rock,alternative rock,boston indie,#DCB250,#DEAC49,bostonindie
24,rock,alternative rock,boston punk,#DCB250,#DABD38,bostonpunk
25,rock,alternative rock,brazilian groove metal,#DCB250,#DAB959,braziliangroovemetal
26,rock,alternative rock,british math rock,#DCB250,#DBA849,britishmathrock
27,rock,alternative rock,british post-rock,#DCB250,#DDA63A,britishpostrock
28,rock,alternative rock,bubblegrunge,#DCB250,#D3B73E,bubblegrunge
29,rock,alternative rock,bury st edmunds indie,#DCB250,#D8B43F,burystedmundsindie
30,rock,alternative rock,california hardcore,#DCB250,#DEC663,californiahardcore
31,rock,alternative rock,canadian indie,#DCB250,#D9BB42,canadianindie
32,rock,alternative rock,canadian psychedelic rock,#DCB250,#DDAE57,canadianpsychedelicrock
33,rock,alternative rock,cardiff indie,#DCB250,#DEA958,cardiffindie
34,rock,alternative rock,celtic rock,#DCB250,#D59F46,celticrock
35,rock,alternative rock,chamber psych,#DCB250,#DFBF48,chamberpsych
36,rock,alternative rock,charlotte nc indie,#DCB250,#DEAA5A,charlottencindie
37,rock,alternative rock,christchurch indie,#DCB250,#DABA52,christchurchindie
38,rock,alternative rock,cinematic post-rock,#DCB250,#DB9B35,cinematicpostrock
39,rock,alternative rock,cowpunk,#DCB250,#DFC960,cowpunk
40,rock,alternative rock,crack rock steady,#DCB250,#D7BB41,crackrocksteady
41,rock,alternative rock,crossover prog,#DCB250,#D8AB3F,crossoverprog
42,rock,alternative rock,czech psychedelic,#DCB250,#DAB151,czechpsychedelic
43,rock,alternative rock,dalarna indie,#DCB250,#DBB25F,dalarnaindie
44,rock,alternative rock,dc hardcore,#DCB250,#E0B859,dchardcore
45,rock,alternative rock,deep ccm,#DCB250,#D9AD58,deepccm
46,rock,alternative rock,deep psychobilly,#DCB250,#DCB84F,deeppsychobilly
47,rock,alternative rock,denver indie,#DCB250,#E3B566,denverindie
48,rock,alternative rock,double drumming,#DCB250,#DBB337,doubledrumming
49,rock,alternative rock,dream pop & shoegaze,#DCB250,#DBAD59,dreampop&shoegaze
50,rock,alternative rock,dreampunk,#DCB250,#DAB459,dreampunk
51,rock,alternative rock,dresden indie,#DCB250,#E3AF60,dresdenindie
52,rock,alternative rock,dublin indie,#DCB250,#D7A14B,dublinindie
53,rock,alternative rock,dungeon synth,#DCB250,#E2BD62,dungeonsynth
54,rock,alternative rock,emo punk,#DCB250,#DDB95C,emopunk
55,rock,alternative rock,estonian indie,#DCB250,#D3AF3D,estonianindie
56,rock,alternative rock,ethereal wave,#DCB250,#DCB04A,etherealwave
57,rock,alternative rock,finnish psychedelic rock,#DCB250,#DEBD6B,finnishpsychedelicrock
58,rock,alternative rock,florida hardcore,#DCB250,#E3B264,floridahardcore
59,rock,alternative rock,fort wayne indie,#DCB250,#D9A045,fortwayneindie
60,rock,alternative rock,gainesville indie,#DCB250,#DBB15F,gainesvilleindie
61,rock,alternative rock,gaita,#DCB250,#D7AD4B,gaita
62,rock,alternative rock,german stoner rock,#DCB250,#E3BA61,germanstonerrock
63,rock,alternative rock,gothenburg indie,#DCB250,#DCB363,gothenburgindie
64,rock,alternative rock,grunge,#DCB250,#D7A440,grunge
65,rock,alternative rock,h8000,#DCB250,#DEC25D,h8000
66,rock,alternative rock,hampton roads indie,#DCB250,#D5A640,hamptonroadsindie
67,rock,alternative rock,hardcore,#DCB250,#DCB751,hardcore
68,rock,alternative rock,hardcore punk espanol,#DCB250,#D4A53E,hardcorepunkespanol
69,rock,alternative rock,heavy psych,#DCB250,#DEB14F,heavypsych
70,rock,alternative rock,horror synth,#DCB250,#D8B14C,horrorsynth
71,rock,alternative rock,houston indie,#DCB250,#E0BA56,houstonindie
72,rock,alternative rock,hypnagogic pop,#DCB250,#DFCA66,hypnagogicpop
